City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Sturgeon Bay,US,44.8342,-87.377,36.0,80,100,9.22,overcast clouds
127,Tual,ID,-5.6667,132.75,83.66,69,40,3.2,scattered clouds
128,Belaya Gora,RU,68.5333,146.4167,-40.47,99,83,4.41,broken clouds
129,Ulaangom,MN,49.9811,92.0667,-14.42,83,47,3.38,scattered clouds
130,Muros,ES,42.7762,-9.0603,55.09,94,80,10.45,broken clouds
131,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,6.91,clear sky
132,Hobart,AU,-42.8794,147.3294,53.26,88,75,14.97,broken clouds
133,Cayenne,GF,4.9333,-52.3333,80.64,78,100,10.36,overcast clouds
134,Fortuna,US,40.5982,-124.1573,49.91,82,0,1.01,clear sky
135,Pochutla,MX,15.7432,-96.4661,78.82,77,3,6.31,clear sky
136,Curup,ID,-3.4667,102.5333,67.28,89,98,1.14,light rain
137,Smithers,CA,54.7804,-127.1743,14.32,92,40,2.3,scattered clouds
138,Ancud,CL,-41.8697,-73.8203,55.31,77,6,9.19,clear sky
139,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,78,75,10.36,light snow
140,Kholodnyy,RU,62.7167,147.95,-26.73,87,100,4.74,overcast clouds
141,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,64,20,9.22,few clouds
142,Butaritari,KI,3.0707,172.7902,81.12,75,60,5.5,broken clouds
143,Teahupoo,PF,-17.8333,-149.2667,78.76,79,97,18.97,light rain
144,Ilulissat,GL,69.2167,-51.1,21.22,58,100,16.11,overcast clouds
145,Rundu,NA,-17.9333,19.7667,68.07,79,100,4.23,overcast clouds
146,Sabang,ID,5.8933,95.3214,74.86,94,100,10.69,overcast clouds
147,Goderich,CA,43.7501,-81.7165,28.9,54,100,18.41,overcast clouds
148,Mangochi,MW,-14.4782,35.2645,72.48,89,100,3.06,light rain
149,Ponta Do Sol,PT,32.6667,-17.1,65.03,83,39,19.48,scattered clouds
