City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Camocim,BR,79.57,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
294,Beloha,MG,72.55,few clouds,-25.1667,45.05,
297,Masuguru,TZ,72.03,overcast clouds,-11.3667,38.4167,
300,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,ASTON Pontianak Hotel & Convention Center
306,Pemangkat,ID,74.97,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
307,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
309,Ballina,AU,75.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
311,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
312,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,hotel la terminal
313,Miraflores,MX,66.97,few clouds,19.2167,-98.8083,Hotel Mansión
316,Poum,NC,79.59,clear sky,-20.2333,164.0167,
322,Jutai,BR,74.16,overcast clouds,-5.1833,-68.9,
328,Kochi,IN,74.01,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
332,Nakapiripirit,UG,68.07,scattered clouds,1.9167,34.7833,
333,Airai,TL,70.68,broken clouds,-8.9266,125.4092,
337,Biak,ID,79.07,overcast clouds,-0.9131,122.8766,Penginapan Kim
338,Carinhanha,BR,70.66,moderate rain,-14.3047,-43.765,Hotel União
339,Rondonopolis,BR,76.14,overcast clouds,-16.4708,-54.6356,Serras Hotel
349,Raga,SS,71.67,clear sky,8.4596,25.678,
352,Manta,EC,74.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
355,Hurghada,EG,66.61,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
356,Kingaroy,AU,71.35,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
362,Ishigaki,JP,66.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
365,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
366,Sangmelima,CM,68.4,light rain,2.9333,11.9833,gamestar hotel
375,Lethem,GY,79.7,broken clouds,3.3803,-59.7968,Savannah Inn
378,Bafata,GW,71.62,clear sky,12.1667,-14.75,
380,Sai Buri,TH,76.71,broken clouds,6.7013,101.6168,สวนป่ารีสอร์ท
381,Biltine,TD,69.8,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
386,Kerouane,GN,69.96,few clouds,9.2667,-9.0167,Hotel Seka Seka
393,Tecoanapa,MX,78.75,few clouds,16.5167,-98.75,Hotel Manglares
402,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
407,Dicabisagan,PH,77.88,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
